Student,LPIPS,SSIM
113590029.png,0.0,1.0
113590059.png,0.291640043258667,0.5943443762276504
113590018.png,0.33789339661598206,0.5476978344295315
113590028.png,0.3395572900772095,0.5364574706560297
113590044.png,0.3465452492237091,0.5883373720724323
113AB0018.png,0.3485919237136841,0.4884634265396115
113590023.png,0.3657180666923523,0.4565964803209024
113590050.png,0.3760148882865906,0.4934904604014427
113590031.png,0.38005098700523376,0.5518831603322166
113590001.png,0.3811420202255249,0.5266095251910512
113590015.png,0.3858446478843689,0.5282128551880609
113590045.png,0.3878655433654785,0.5132696485846987
113590052.png,0.3919997811317444,0.5194664269264426
113590021.png,0.3927597105503082,0.529139009045856
113590011.png,0.3936677873134613,0.521603443205856
113590049.png,0.3946029543876648,0.456425328660611
113370239.png,0.3961295187473297,0.5619160484191499
112590040.png,0.3972083628177643,0.4793561694634723
112590452.png,0.3976539373397827,0.5593861265173972
113590051.png,0.3982798755168915,0.549999671131282
113590039.png,0.4055774211883545,0.537388328589961
113590062.png,0.4056941568851471,0.4776148821811314
111590047.png,0.40689778327941895,0.599019663694353
112590454.png,0.40853947401046753,0.5351691229824744
113590006.png,0.40926599502563477,0.4515767777858405
111590062.png,0.4134599566459656,0.5418098393383833
113590026.png,0.41563189029693604,0.5959439884085794
113590022.png,0.4177212417125702,0.4963742465170465
113590451.png,0.4185161590576172,0.5363351480286195
112590455.png,0.42190802097320557,0.5420288833461584
113590002.png,0.4249652624130249,0.5312955194253643
113590061.png,0.4265691936016083,0.520047619127895
111590455.png,0.42792922258377075,0.504740692580434
112590058.jpg,0.4291410446166992,0.41010120761016716
113590056.png,0.4322463572025299,0.5435320224410664
113590033.png,0.4333984851837158,0.5238067950112544
113590032.png,0.4337763488292694,0.5722944397084095
113590042.png,0.4356534481048584,0.495135185419951
113590036.png,0.43783724308013916,0.4777520748919377
113AC1012.png,0.4437142312526703,0.5293287363137258
113590003.png,0.44576525688171387,0.5486402957415905
113590060.png,0.4478265047073364,0.5327353676226357
113590008.png,0.4502503275871277,0.40528394216566155
113590055.png,0.4548816680908203,0.5325992342260827
110590455.png,0.4620110094547272,0.5108253105970629
113590450.png,0.4634312391281128,0.5327261280477512
113590040.png,0.46482598781585693,0.5171484238871029
114054809.png,0.4678822457790375,0.5219867588673391
111590028.png,0.46835625171661377,0.5350826268099447
113590005.png,0.4858904778957367,0.561790555703641
113590057.png,0.49054840207099915,0.47536459399310366
113590047.png,0.4907658100128174,0.565643334367654
113590010.png,0.4925118088722229,0.4650007571730268
113590013.png,0.4932563304901123,0.3239653356538088
113590004.png,0.4982049763202667,0.5689929026613587
113590043.png,0.5067861676216125,0.5861692142521614
113590025.png,0.5146093368530273,0.583806023188568
111590042.png,0.5234493017196655,0.6010337603015282
